participant,File_ID,pt_location,age_group,pt_location_age_group,expName,date,excerpt_label_final,excerpt_name_original,genre_code,familiarity_specific_level,song_batch,no_thought_rate,creation_time_Acc,familiarity_specific_rated,thought_or_not_response.keys,have_thought_input.text,have_thought_input.text_EDIT,Artists_composers_singers_etc_mentioned,song_piece_titles_mentioned,media_or_fictional_characters_or_titles_mentioned,PossibleExclusion,no_thought_input.text,rating_Q1_music_related.response,rating_Q2_spontaneous.response,rating_Q3_reality.response,general_rating_Q1_familiarity.response,general_rating_Q2_enjoy.response,textbox_attnCheck.text,demographics.headphones,demographics.age,demographics.gender,demographics.livingCountry,demographics.birthCountry,demographics.nativeLangue,demographics.otherLanguage,demographics.otherLanguageText,demographics.hearingImpairments,demographics.hearingImpairmentsText,demographics.education,demographics.musicianIdentification,demographics.feedback,have_thoughts.started,have_thoughts.stopped,no_thought.started,no_thought.stopped,have_thoughts.RT,no_thought.RT,have_thought_word_count,no_thought_word_count,have_thought_input_text_EDIT_word_count,spelling_corrected,spelling_check_original_words,spelling_check_new_words,spelling_check_original_words_number,spelling_check_new_words_number,dimension_of_similarity_1,dimension_of_similarity_2,audio_name,original_order,online_order,have_thought_input.text_EDIT_PNAS,dimension_of_similarity_1_PNAS,dimension_of_similarity_2_PNAS
543782,MEI_UK18to30_2024-07-03_13h55.48.477_543782.csv,UK,Age18to30,UK_Age18to30,MEI_UK18to30,2024-07-03_13h55.48.477,60s_L_11,new-clip_60s_MED_Through_with_You.mp3,60s pop,L,11,0.09375,0.15625,1.4375,y,i imagined myself in a western riding a horse into the desert,i imagined myself in a western riding a horse into the desert,,,,,,5,4,2,1,4,,TRUE,30,Male,United Kingdom,United Kingdom,english,FALSE,NA,FALSE,NA,3,2,NA,572.4024,605.3537,626.8035,626.8076,32.9513,NA,12,0,12,No,NA,NA,NA,NA,-15.906403,-33.024483,60s_L_11_new-clip_60s_MED_Through_with_You.mp3,4,1,i <i>imagined</i> <i>myself</i> <i>in</i> <i>a</i> western riding <i>a</i> horse <i>into</i> <i>the</i> desert,1.2562274,42.683823
126889,MEI_UK18to30_2024-07-11_05h09.08.762_126889.csv,UK,Age18to30,UK_Age18to30,MEI_UK18to30,2024-07-11_05h09.08.762,60s_L_12,new-clip_60s_LOW_Rumpus.mp3,60s pop,L,12,0.09375,0.34375,1.375,y,it made me feel nostalgic as though it was a theme tune from my childhood that i dont recognise ,it made me feel nostalgic as though it was a theme tune from my childhood that i dont recognise ,,,,,,4,4,3,1,3,,TRUE,24,Female,United Kingdom,United Kingdom,english,FALSE,NA,FALSE,NA,3,2,NA,955.6673,991.0227,1004.6298,1004.6368,35.3554,NA,19,0,19,No,NA,NA,NA,NA,49.92875,32.263474,60s_L_12_new-clip_60s_LOW_Rumpus.mp3,20,2,it <i>made</i> <i>me</i> feel nostalgic <i>as</i> though <i>it</i> <i>was</i> <i>a</i> theme tune <i>from</i> <i>my</i> childhood <i>that</i> <i>i</i> dont recognise ,-46.02466,-4.3033876
291796,MEI_UK18to30_2024-07-11_12h20.03.882_291796.csv,UK,Age18to30,UK_Age18to30,MEI_UK18to30,2024-07-11_12h20.03.882,60s_H_06,new-clip_60s_MED_Cinnamon_Girl.mp3,60s pop,H,6,0.096774194,0.161290323,1.741935484,y, it made me think of a rock concert especially metalica who i have seen before in concert , it made me think of a rock concert especially metallica who i have seen before in concert ,Metallica,,,,,4,3,1,2,4,,TRUE,18,Male,United Kingdom,United Kingdom,english,FALSE,NA,FALSE,NA,3,2,NA,481.2952,527.9891,542.9671,542.968,46.6939,NA,17,0,17,Yes,metalica,metallica,1,1,32.97395,12.683525,60s_H_06_new-clip_60s_MED_Cinnamon_Girl.mp3,24,3, <i>it</i> <i>made</i> <i>me</i> <i>think</i> <i>of</i> <i>a</i> <i>rock</i> concert especially metallica <i>who</i> <i>i</i> <i>have</i> seen <i>before</i> <i>in</i> concert ,50.61602,-50.489662
873604,MEI_UK18to30_2024-07-11_12h27.18.329_873604.csv,UK,Age18to30,UK_Age18to30,MEI_UK18to30,2024-07-11_12h27.18.329,60s_H_03,new-clip_60s_HIGH_Crimson_and_Clover_-Single_Version-.mp3,60s pop,H,3,0.088235294,0.323529412,2.411764706,y,"Farmer. At first he is hanging out with his cow, but then he gets in his tractor and starts driving it about in the field","Farmer. At first he is hanging out with his cow, but then he gets in his tractor and starts driving it about in the field",,,,,,5,4,3,1,3,,TRUE,18,Female,United Kingdom,United Kingdom,english,FALSE,NA,FALSE,NA,3,3,NA,312.4162,347.8322,357.7476,357.7491,35.416,NA,25,0,25,No,NA,NA,NA,NA,12.733857,-44.909634,60s_H_03_new-clip_60s_HIGH_Crimson_and_Clover_-Single_Version-.mp3,30,4,"Farmer. At first <i>he</i> <i>is</i> hanging <i>out</i> <i>with</i> <i>his</i> cow, <i>but</i> <i>then</i> <i>he</i> gets <i>in</i> <i>his</i> tractor <i>and</i> starts driving <i>it</i> <i>about</i> <i>in</i> <i>the</i> field",-9.899254,28.40823
357264,MEI_UK18to30_2024-07-11_12h40.08.021_357264.csv,UK,Age18to30,UK_Age18to30,MEI_UK18to30,2024-07-11_12h40.08.021,60s_H_05,new-clip_60s_MED_Blue_Eyes_Crying_In_the_Rain.mp3,60s pop,H,5,0.064516129,0.35483871,1.741935484,y,Ballroom dancing. Classy people.,Ballroom dancing. Classy people.,,,,,,5,4,5,2,3,banana,TRUE,26,Male,United Kingdom,United Kingdom,English,TRUE,Bengali,FALSE,NA,3,2,NA,534.8676,566.2483,580.3206,580.3227,31.3807,NA,4,0,4,No,NA,NA,NA,NA,-62.083317,-18.458574,60s_H_05_new-clip_60s_MED_Blue_Eyes_Crying_In_the_Rain.mp3,41,5,Ballroom dancing. Classy people.,66.7565,-10.994222
656393,MEI_UK18to30_2024-07-11_12h43.05.610_656393.csv,UK,Age18to30,UK_Age18to30,MEI_UK18to30,2024-07-11_12h43.05.610,60s_H_03,new-clip_60s_HIGH_Crimson_and_Clover_-Single_Version-.mp3,60s pop,H,3,0.088235294,0.323529412,2.411764706,y,"the countryside, sunny day, no clouds, warm breeze","the countryside, sunny day, no clouds, warm breeze",,,,,,5,3,2,1,3,,TRUE,22,Male,United Kingdom,United Kingdom,English,FALSE,NA,FALSE,NA,5,2,NA,321.4232,364.6918,374.1576,374.1597,43.2686,NA,8,0,8,No,NA,NA,NA,NA,-34.621,-58.084442,60s_H_03_new-clip_60s_HIGH_Crimson_and_Clover_-Single_Version-.mp3,46,6,"the countryside, sunny day, <i>no</i> clouds, warm breeze",16.033298,58.602352
792671,MEI_UK18to30_2024-07-11_12h47.06.346_792671.csv,UK,Age18to30,UK_Age18to30,MEI_UK18to30,2024-07-11_12h47.06.346,60s_H_01,new-clip_60s_HIGH_Summer_in_the_City_-_Remastered.mp3,60s pop,H,1,0.147058824,0.264705882,3.235294118,y,"Sounded like the opening theme of a tv show. I would imagine the show would be set in the 70s with flares, big sunglasses, moustaches, based around an LA drama series (possibly drug dealing related). ","Sounded like the opening theme of a tv show. I would imagine the show would be set in the 70s with flares, big sunglasses, moustaches, based around an LA drama series (possibly drug dealing related). ",,,,,,4,3,5,2,4,,TRUE,28,Female,United Kingdom,United Kingdom,English,FALSE,NA,TRUE,"I was born with holes in my eardrums, I have had tympanoplasty surgeries to fix this (3 operations between both ears). My hearing levels are good but my hearing is better in my right ear, than in my left. I struggle sometimes in conversations with lots of people to hear every word of what someone is saying. ",5,3,No comments ,372.1798,453.4916,472.8615,472.8636,81.3118,NA,35,0,35,No,NA,NA,NA,NA,-8.60573,17.155312,60s_H_01_new-clip_60s_HIGH_Summer_in_the_City_-_Remastered.mp3,53,7,"Sounded <i>like</i> <i>the</i> opening theme <i>of</i> <i>a</i> tv show. <i>I</i> would <i>imagine</i> <i>the</i> show would <i>be</i> set <i>in</i> <i>the</i> <i> <i>70</i> s</i> <i>with</i> flares, big sunglasses, moustaches, based <i>around</i> <i>an</i> L<i>A</i> drama series (possibly drug dealing related). ",-22.135712,-40.258877
188509,MEI_UK18to30_2024-07-11_12h48.34.842_188509.csv,UK,Age18to30,UK_Age18to30,MEI_UK18to30,2024-07-11_12h48.34.842,60s_H_04,new-clip_60s_HIGH_Im_A_Man_-_Remastered_2010.mp3,60s pop,H,4,0.176470588,0.235294118,1.852941176,y,"Clapping Repetitive rhythm Fun 
","Clapping Repetitive rhythm Fun 
",,,,,,3,3,4,2,3,,TRUE,29,Female,United Kingdom,United Kingdom,English,FALSE,NA,FALSE,NA,5,2,"Great study 
Range of different musical pieces ",660.698,691.415,708.833,708.835,30.717,NA,4,0,4,No,NA,NA,NA,NA,-61.543392,24.541624,60s_H_04_new-clip_60s_HIGH_Im_A_Man_-_Remastered_2010.mp3,66,8,"Clapping Repetitive rhythm Fun 
",52.056538,-21.715094
691342,MEI_UK18to30_2024-07-11_12h50.27.288_691342.csv,UK,Age18to30,UK_Age18to30,MEI_UK18to30,2024-07-11_12h50.27.288,60s_L_10,new-clip_60s_HIGH_Its_Only_Make_Believe_-_Mono.mp3,60s pop,L,10,0.176470588,0.5,1.5,y,A hotel resort near a beach/ocean.,A hotel resort near a beach/ocean.,,,,,,5,5,3,1,2,,TRUE,18,Male,United Kingdom,United Kingdom,English,FALSE,NA,FALSE,NA,3,1,No,1302.1078,1333.6624,1347.7031,1347.7061,31.5546,NA,7,0,7,No,NA,NA,NA,NA,-30.277803,-63.511005,60s_L_10_new-clip_60s_HIGH_Its_Only_Make_Believe_-_Mono.mp3,76,9,<i>A</i> hotel resort near <i>a</i> beach/ocean.,9.827931,72.66756
706861,MEI_UK18to30_2024-07-11_12h55.25.260_706861.csv,UK,Age18to30,UK_Age18to30,MEI_UK18to30,2024-07-11_12h55.25.260,60s_L_12,new-clip_60s_LOW_Rumpus.mp3,60s pop,L,12,0.09375,0.34375,1.375,y,"It really reminded me of a kids TV show, perhaps something that would be shown on CBeebies when I was a child. It was uplifting and light hearted. ","It really reminded me of a kids TV show, perhaps something that would be shown on CBeebies when I was a child. It was uplifting and light hearted. ",,,CBeebies,,,5,5,2,1,2,,TRUE,24,Female,United Kingdom,United Kingdom,English,FALSE,NA,FALSE,NA,5,2,"This was a fascinating study, I thoroughly enjoyed it. It was thought-provoking yet fun at the same time.",942.33,973.1581,980.6218,980.623,30.8281,NA,28,0,28,No,NA,NA,NA,NA,48.888084,20.039736,60s_L_12_new-clip_60s_LOW_Rumpus.mp3,86,10,"<i>It</i> really <i>reminded</i> <i>me</i> <i>of</i> <i>a</i> kids TV show, perhaps something <i>that</i> would <i>be</i> shown <i>on</i> CBeebies <i>when</i> <i>I</i> <i>was</i> <i>a</i> child. <i>It</i> <i>was</i> uplifting <i>and</i> light hearted. ",-27.879276,-41.903805
904813 6658ce2d67ff9132f3924e1d@email.prolific.com,MEI_UK18to30_2024-07-11_12h56.07.556_904813_6658ce2d67ff9132f3924e1demail.prolific.com.csv,UK,Age18to30,UK_Age18to30,MEI_UK18to30,2024-07-11_12h56.07.556,60s_L_08,new-clip_60s_LOW_This_Time_the_Dreams_on_Me.mp3,60s pop,L,8,0.1875,0.28125,1.6875,y,"black & white smoky jazz bar in the 1920s, cocktails etc.","black & white smoky jazz bar in the 1920s, cocktails etc.",,,,,,5,5,5,1,4,,TRUE,30,Female,United Kingdom,United Kingdom,english,FALSE,NA,FALSE,NA,5,2,NA,763.9708,796.8512,808.6149,808.6197,32.8804,NA,10,0,10,No,NA,NA,NA,NA,-50.747677,-29.332178,60s_L_08_new-clip_60s_LOW_This_Time_the_Dreams_on_Me.mp3,93,11,"black & white smoky <i>jazz</i> bar <i>in</i> <i>the</i> 1920s, cocktails etc.",47.861423,24.272501
283171,MEI_UK18to30_2024-07-11_12h56.31.356_283171.csv,UK,Age18to30,UK_Age18to30,MEI_UK18to30,2024-07-11_12h56.31.356,60s_L_12,new-clip_60s_LOW_Rumpus.mp3,60s pop,L,12,0.09375,0.34375,1.375,y,"Cheesy old school intro to a tv programme, americanised. Upbeat and cheery but alsmost too much like it was cringy and unrealistic ","Cheesy old school intro to a tv programme, americanised. Upbeat and cheery but alsmost too much like it was cringey and unrealistic ",,,,,,5,5,4,2,2,,TRUE,26,Female,United Kingdom,United Kingdom,English,FALSE,NA,FALSE,NA,5,2,N/a,864.7079,899.7072,906.2233,906.2249,34.9993,NA,22,0,22,Yes,cringy,cringey,1,1,21.946661,39.908936,60s_L_12_new-clip_60s_LOW_Rumpus.mp3,103,12,"Cheesy old school intro <i>to</i> <i>a</i> tv programme, americanised. Upbeat <i>and</i> cheery <i>but</i> alsmost <i>too</i> much <i>like</i> <i>it</i> <i>was</i> cringey <i>and</i> unrealistic ",-23.281672,-32.093628
565177,MEI_UK18to30_2024-07-11_12h57.36.351_565177.csv,UK,Age18to30,UK_Age18to30,MEI_UK18to30,2024-07-11_12h57.36.351,60s_H_04,new-clip_60s_HIGH_Im_A_Man_-_Remastered_2010.mp3,60s pop,H,4,0.176470588,0.235294118,1.852941176,y,"It made me think of an advert advertising whiskey. I could imagine it showing middle aged men drinking whiskey in a bar, enjoying their night.","It made me think of an advert advertising whiskey. I could imagine it showing middle aged men drinking whiskey in a bar, enjoying their night.",,,,,NA,4,4,3,1,3,,TRUE,30,Female,United Kingdom,United Kingdom,English,FALSE,NA,TRUE,Partial hearing loss - managed by wearing hearing aids.,5,2,No.,318.2574,393.8213,413.4925,413.5003,75.5639,NA,25,NA,25,No,NA,NA,NA,NA,-0.7060172,-1.6513606,60s_H_04_new-clip_60s_HIGH_Im_A_Man_-_Remastered_2010.mp3,106,13,"<i>It</i> <i>made</i> <i>me</i> <i>think</i> <i>of</i> <i>an</i> advert advertising whiskey. <i>I</i> could <i>imagine</i> <i>it</i> showing middle aged men drinking whiskey <i>in</i> <i>a</i> bar, enjoying <i>their</i> night.",40.51559,33.220573
202875,MEI_UK18to30_2024-07-11_12h58.02.036_202875.csv,UK,Age18to30,UK_Age18to30,MEI_UK18to30,2024-07-11_12h58.02.036,60s_H_05,new-clip_60s_MED_Blue_Eyes_Crying_In_the_Rain.mp3,60s pop,H,5,0.064516129,0.35483871,1.741935484,y,"A field of flowers, people holding hands dressed in white.","A field of flowers, people holding hands dressed in white.",,,,,,4,2,4,1,4,,TRUE,29,Female,United Kingdom,United Kingdom,English,FALSE,NA,FALSE,NA,5,3,NA,872.5819,915.0571,925.7811,925.7823,42.4752,NA,10,0,10,No,NA,NA,NA,NA,-40.75074,-27.697521,60s_H_05_new-clip_60s_MED_Blue_Eyes_Crying_In_the_Rain.mp3,122,14,"<i>A</i> field <i>of</i> flowers, people holding hands dressed <i>in</i> white.",37.03381,5.0394278
492627,MEI_UK18to30_2024-07-11_12h59.28.638_492627.csv,UK,Age18to30,UK_Age18to30,MEI_UK18to30,2024-07-11_12h59.28.638,60s_H_06,new-clip_60s_MED_Cinnamon_Girl.mp3,60s pop,H,6,0.096774194,0.161290323,1.741935484,y,"This track felt like I was on a road trip across america, with the windows down and the sun shining.","This track felt like I was on a road trip across america, with the windows down and the sun shining.",,,,,,3,2,5,1,3,Banana,TRUE,30,Male,United Kingdom,United Kingdom,English,FALSE,NA,FALSE,NA,2,2,NA,557.9025,593.2619,604.2263,604.2275,35.3594,NA,20,0,20,No,NA,NA,NA,NA,3.2027993,-48.096344,60s_H_06_new-clip_60s_MED_Cinnamon_Girl.mp3,126,15,"This track felt <i>like</i> <i>I</i> <i>was</i> <i>on</i> <i>a</i> road trip across america, <i>with</i> <i>the</i> windows <i>down</i> <i>and</i> <i>the</i> sun shining.",-1.1982505,37.42439
10018,MEI_UK18to30_2024-07-11_13h03.38.861_010018.csv,UK,Age18to30,UK_Age18to30,MEI_UK18to30,2024-07-11_13h03.38.861,60s_L_08,new-clip_60s_LOW_This_Time_the_Dreams_on_Me.mp3,60s pop,L,8,0.1875,0.28125,1.6875,y,"I imagined an abstract concept for the opening of a movie from the early 20th century, as the credits are being shown.","I imagined an abstract concept for the opening of a movie from the early 20th century, as the credits are being shown.",,,,,,5,5,3,1,4,banana,TRUE,24,Male,United Kingdom,United Kingdom,English,FALSE,NA,FALSE,NA,5,3,NA,664.5837,696.8366,704.5518,704.5531,32.2529,NA,22,0,22,No,NA,NA,NA,NA,-8.048241,18.232512,60s_L_08_new-clip_60s_LOW_This_Time_the_Dreams_on_Me.mp3,134,16,"<i>I</i> <i>imagined</i> <i>an</i> abstract concept <i>for</i> <i>the</i> opening <i>of</i> <i>a</i> <i>movie</i> <i>from</i> <i>the</i> early 20th century, <i>as</i> <i>the</i> credits <i>are</i> <i>being</i> shown.",-13.147714,-6.336862
789064,MEI_UK18to30_2024-07-11_13h05.01.556_789064.csv,UK,Age18to30,UK_Age18to30,MEI_UK18to30,2024-07-11_13h05.01.556,60s_H_01,new-clip_60s_HIGH_Summer_in_the_City_-_Remastered.mp3,60s pop,H,1,0.147058824,0.264705882,3.235294118,y,I thought it was uplifting and I liked the drums. I thought of a band rehearsing a new song. It sounded quite familiar.,I thought it was uplifting and I liked the drums. I thought of a band rehearsing a new song. It sounded quite familiar.,,,,,,5,4,2,3,5,,TRUE,29,Female,United Kingdom,United Kingdom,English,FALSE,NA,FALSE,NA,5,2,It was different and enjoyable,499.7016,537.7124,560.1449,560.1487,38.0108,NA,23,0,23,No,NA,NA,NA,NA,42.74074,28.820854,60s_H_01_new-clip_60s_HIGH_Summer_in_the_City_-_Remastered.mp3,149,17,<i>I</i> <i>thought</i> <i>it</i> <i>was</i> uplifting <i>and</i> <i>I</i> liked <i>the</i> drums. <i>I</i> <i>thought</i> <i>of</i> <i>a</i> <i>band</i> rehearsing <i>a</i> new song. <i>It</i> <i>sounded</i> quite familiar.,-45.49171,-1.8511752
95770,MEI_UK18to30_2024-07-11_13h06.19.956_095770.csv,UK,Age18to30,UK_Age18to30,MEI_UK18to30,2024-07-11_13h06.19.956,60s_L_07,new-clip_60s_MED_Im_Waiting_For_The_Man.mp3,60s pop,L,7,0.2,0.3,1.733333333,y,I am driving along a big long road with nothing around me with my windows down and I have a pistol maybe,I am driving along a big long road with nothing around me with my windows down and I have a pistol maybe,,,,,,3,3,3,2,2,,TRUE,24,Female,United Kingdom,Bulgaria,Bulgarian,TRUE,English,FALSE,NA,5,2,NA,336.327,367.6424,375.0281,375.0297,31.3154,NA,22,0,22,No,NA,NA,NA,NA,-13.543577,-8.899017,60s_L_07_new-clip_60s_MED_Im_Waiting_For_The_Man.mp3,156,18,<i>I</i> <i>am</i> driving along <i>a</i> big long road <i>with</i> nothing <i>around</i> <i>me</i> <i>with</i> <i>my</i> windows <i>down</i> <i>and</i> <i>I</i> <i>have</i> <i>a</i> pistol maybe,-10.396325,23.734644
682331,MEI_UK18to30_2024-07-11_13h08.30.267_682331.csv,UK,Age18to30,UK_Age18to30,MEI_UK18to30,2024-07-11_13h08.30.267,60s_L_12,new-clip_60s_LOW_Rumpus.mp3,60s pop,L,12,0.09375,0.34375,1.375,y,This reminded me of a theme tune to a show in the 80s. I could imagine a typical cheerful introduction to one of these shows.,This reminded me of a theme tune to a show in the 80s. I could imagine a typical cheerful introduction to one of these shows.,,,,,,5,5,3,3,4,,TRUE,27,Male,United Kingdom,United Kingdom,English,FALSE,NA,FALSE,NA,7,2,NA,147.9935,193.7283,211.0075,211.009,45.7348,NA,25,0,25,No,NA,NA,NA,NA,17.50104,10.033365,60s_L_12_new-clip_60s_LOW_Rumpus.mp3,161,19,This <i>reminded</i> <i>me</i> <i>of</i> <i>a</i> theme tune <i>to</i> <i>a</i> show <i>in</i> <i>the</i>  <i>80</i> s. <i>I</i> could <i>imagine</i> <i>a</i> typical cheerful introduction <i>to</i> one <i>of</i> <i>these</i> shows.,-20.967476,-40.18328
394248,MEI_UK18to30_2024-07-11_13h09.03.237_394248.csv,UK,Age18to30,UK_Age18to30,MEI_UK18to30,2024-07-11_13h09.03.237,60s_H_01,new-clip_60s_HIGH_Summer_in_the_City_-_Remastered.mp3,60s pop,H,1,0.147058824,0.264705882,3.235294118,y,"Walking in a park, listening to music on something like Youtube where it would come up as a recommended song based on playlists that I'm listening to","Walking in a park, listening to music on something like Youtube where it would come up as a recommended song based on playlists that I'm listening to",,,,,,5,3,4,1,3,Banana,TRUE,29,Female,United Kingdom,"Korea, South",Korean,TRUE,English,FALSE,NA,7,2,NA,481.539,526.3905,537.008,537.0102,44.8515,NA,27,0,27,No,NA,NA,NA,NA,28.734617,24.832546,60s_H_01_new-clip_60s_HIGH_Summer_in_the_City_-_Remastered.mp3,171,20,"Walking <i>in</i> <i>a</i> park, listening <i>to</i> <i>music</i> <i>on</i> something <i>like</i> Youtube <i>where</i> <i>it</i> would come <i>up</i> <i>as</i> <i>a</i> recommended <i>song</i> based <i>on</i> playlists <i>that</i> I'm listening to",-46.387238,-26.038826
490193,MEI_UK18to30_2024-07-11_13h12.41.213_490193.csv,UK,Age18to30,UK_Age18to30,MEI_UK18to30,2024-07-11_13h12.41.213,60s_L_12,new-clip_60s_LOW_Rumpus.mp3,60s pop,L,12,0.09375,0.34375,1.375,y,reminds me of an English sitcom like an early 80's one and a kid in a candy store.,reminds me of an English sitcom like an early 80's one and a kid in a candy store.,,,,,,5,4,4,2,3,,TRUE,29,Male,United Kingdom,United Kingdom,English,FALSE,NA,FALSE,NA,4,3,none.,1123.409,1156.9934,1163.2591,1163.261,33.5844,NA,19,0,19,No,NA,NA,NA,NA,15.817454,47.270107,60s_L_12_new-clip_60s_LOW_Rumpus.mp3,184,21,reminds <i>me</i> <i>of</i> <i>an</i> English sitcom <i>like</i> <i>an</i> early  <i>80</i> 's one <i>and</i> <i>a</i> kid <i>in</i> <i>a</i> candy store.,4.754374,-13.681236
834354,MEI_UK18to30_2024-07-11_13h12.42.791_834354.csv,UK,Age18to30,UK_Age18to30,MEI_UK18to30,2024-07-11_13h12.42.791,60s_L_12,new-clip_60s_LOW_Rumpus.mp3,60s pop,L,12,0.09375,0.34375,1.375,y,"I imagined the scene of a children's TV show, or the intro scene to a fun TV show, happy and jolly","I imagined the scene of a children's TV show, or the intro scene to a fun TV show, happy and jolly",,,,,,5,5,5,1,5,,TRUE,18,Male,United Kingdom,United Kingdom,English,FALSE,NA,FALSE,NA,4,3,NA,509.9076,541.7691,547.4087,547.4103,31.8615,NA,21,0,21,No,NA,NA,NA,NA,-19.72059,51.304546,60s_L_12_new-clip_60s_LOW_Rumpus.mp3,188,22,"<i>I</i> <i>imagined</i> <i>the</i> <i>scene</i> <i>of</i> <i>a</i> children's TV show, <i>or</i> <i>the</i> intro <i>scene</i> <i>to</i> <i>a</i> fun TV show, happy <i>and</i> jolly",-27.106688,-47.146103
644776,MEI_UK18to30_2024-07-11_13h12.59.504_644776.csv,UK,Age18to30,UK_Age18to30,MEI_UK18to30,2024-07-11_13h12.59.504,60s_L_08,new-clip_60s_LOW_This_Time_the_Dreams_on_Me.mp3,60s pop,L,8,0.1875,0.28125,1.6875,y,Dorothy from the Wizard of Oz found herself in a nice bar/restauraunt listening to a band playing in the corner.,Dorothy from the Wizard of Oz found herself in a nice bar/restaurant listening to a band playing in the corner.,,,Dorothy from Wizard of Oz,,,5,5,3,1,2,,TRUE,26,Female,United Kingdom,United Kingdom,English,FALSE,NA,FALSE,NA,5,3,NA,768.1282,807.4535,815.9499,815.9521,39.3253,NA,21,0,21,Yes,bar/restauraunt,bar/restaurant,2,2,-33.91687,-24.125212,60s_L_08_new-clip_60s_LOW_This_Time_the_Dreams_on_Me.mp3,199,23,Dorothy <i>from</i> <i>the</i> Wizard <i>of</i> Oz found <i>herself</i> <i>in</i> <i>a</i> nice bar/restaurant listening <i>to</i> <i>a</i> <i>band</i> playing <i>in</i> <i>the</i> corner.,43.63099,37.91234
442977,MEI_UK18to30_2024-07-11_13h13.28.743_442977.csv,UK,Age18to30,UK_Age18to30,MEI_UK18to30,2024-07-11_13h13.28.743,60s_L_11,new-clip_60s_MED_Through_with_You.mp3,60s pop,L,11,0.09375,0.15625,1.4375,y,old western shootoff or pulp fiction esc scene with with them walking down the street,old western shootoff or pulp fiction esc scene with with them walking down the street,,,,,,3,2,2,1,2,,TRUE,26,Male,United Kingdom,China,chinese,TRUE,english,FALSE,NA,5,2,NA,910.3701,943.0862,955.0322,955.0341,32.7161,NA,15,0,15,No,NA,NA,NA,NA,-26.296831,-34.271847,60s_L_11_new-clip_60s_MED_Through_with_You.mp3,208,24,old western shootoff <i>or</i> pulp fiction esc <i>scene</i> <i>with</i> with <i>them</i> walking <i>down</i> <i>the</i> street,21.941807,20.798573
641102,MEI_UK18to30_2024-07-11_13h14.08.344_641102.csv,UK,Age18to30,UK_Age18to30,MEI_UK18to30,2024-07-11_13h14.08.344,60s_L_09,new-clip_60s_MED_Amore_sto_dicendo_a_te_-_Toy.mp3,60s pop,L,9,0.114285714,0.228571429,1.542857143,y,"at one point there was a soft xylophone playing which reminded me of the kids show 'in the night garden', but this quickly phased out. it's an odd song with lots going on","at one point there was a soft xylophone playing which reminded me of the kids show 'in the night garden', but this quickly phased out. it's an odd song with lots going on",,,in the night garden,,,5,3,3,1,2,,TRUE,27,Female,United Kingdom,United Kingdom,english,FALSE,NA,FALSE,NA,5,2,NA,877.4001,908.9187,920.1797,920.1848,31.5186,NA,33,0,33,No,NA,NA,NA,NA,29.1758,-11.899131,60s_L_09_new-clip_60s_MED_Amore_sto_dicendo_a_te_-_Toy.mp3,221,25,"at one point <i>there</i> <i>was</i> <i>a</i> soft <i>xylophone</i> playing <i>which</i> <i>reminded</i> <i>me</i> <i>of</i> <i>the</i> kids show 'in <i>the</i> night garden', <i>but</i> <i>this</i> quickly phased out. it's <i>an</i> odd <i>song</i> <i>with</i> lots going on",-24.539154,-1.5514901
706743,MEI_UK18to30_2024-07-11_13h14.32.279_706743.csv,UK,Age18to30,UK_Age18to30,MEI_UK18to30,2024-07-11_13h14.32.279,60s_H_02,"new-clip_60s_LOW_Walk,_Dont_Run_-_Stereo.mp3",60s pop,H,2,0.0625,0.40625,2.8125,y,"Being at a old retro diner, where people play music on stage. ","Being at a old retro diner, where people play music on stage. ",,,,,,5,5,5,2,4,,TRUE,30,Male,United Kingdom,United Kingdom,English,FALSE,NA,FALSE,NA,5,2,NA,164.9833,196.0171,222.7668,222.7696,31.0338,NA,12,0,12,No,NA,NA,NA,NA,-51.122906,-9.261011,"60s_H_02_new-clip_60s_LOW_Walk,_Dont_Run_-_Stereo.mp3",231,26,"Being <i>at</i> <i>a</i> old retro diner, <i>where</i> people play <i>music</i> <i>on</i> stage. ",27.848211,4.623976
